"sample_size","population_r","mean_r","sd_r","prop_sig"
20,0.15,0.150585974001639,0.227142306704904,0.1013
40,0.15,0.150181471669453,0.157067008989736,0.1535
60,0.15,0.151660214679113,0.125822913478441,0.2159
20,0.25,0.250340865950184,0.21913461583414,0.197
40,0.25,0.25132162434025,0.151249871208826,0.3592
60,0.25,0.251053602722321,0.122169914842458,0.5036
20,0.35,0.339673749617904,0.206735270299653,0.3345
40,0.35,0.343595369600876,0.141149405229457,0.6049
60,0.35,0.344351509870026,0.114714518619841,0.7905
