sample_size,population_r,mean_r,sd_r,prop_sig
20,0.15,0.15058597400163923,0.22714230670490412,0.1013
40,0.15,0.15018147166945323,0.15706700898973575,0.1535
60,0.15,0.15166021467911323,0.12582291347844068,0.2159
20,0.25,0.2503408659501835,0.21913461583413976,0.197
40,0.25,0.25132162434024957,0.15124987120882608,0.3592
60,0.25,0.25105360272232147,0.12216991484245814,0.5036
20,0.35,0.3396737496179044,0.206735270299653,0.3345
40,0.35,0.34359536960087583,0.14114940522945654,0.6049
60,0.35,0.3443515098700256,0.1147145186198407,0.7905
