r,p,sample_size,population_r
0.6169499912909676,0.0037599129413592846,20,0.15
0.17726578372784188,0.45466321151935063,20,0.15
-0.05247777386605182,0.8260836875527634,20,0.15
0.24283641262005368,0.30225178894529114,20,0.15
-0.16820694370711126,0.47839665714759283,20,0.15
-0.14469639087670189,0.54275481819432,20,0.15
-0.025259792949390236,0.9158142200670869,20,0.15
-0.017139662000054685,0.9428245423760697,20,0.15
0.29555155475082956,0.20582352520483757,20,0.15
-0.24206594385870137,0.3038360335043342,20,0.15
0.3404161417801949,0.14192941796119507,20,0.15
0.42608411822602466,0.06103448082670157,20,0.15
0.6052367544560582,0.004689774434290413,20,0.15
-0.01651255376866041,0.944913386986516,20,0.15
-0.2647232534066962,0.259354354867431,20,0.15
0.08690665693383566,0.7156165343723827,20,0.15
0.49336086714596844,0.027068367223767504,20,0.15
0.10926063440078672,0.6465624097288907,20,0.15
0.36783943491667437,0.11057002124228857,20,0.15
0.05734097419331717,0.8102357782681058,20,0.15
0.22369600022762903,0.34309204990128284,20,0.15
0.18083602124810896,0.44547919024371496,20,0.15
0.43181259856877663,0.057274830785662645,20,0.15
-0.31543366834703157,0.17550723629703371,20,0.15
0.13900708789460725,0.5588975168856234,20,0.15
-0.09215646077162065,0.6991833711609379,20,0.15
0.02652043635252144,0.9116281190695292,20,0.15
-0.09785415064288167,0.6814930335367111,20,0.15
0.14539227850322675,0.5407950092898838,20,0.15
-0.07911475022673078,0.7402287903246808,20,0.15
-0.23719653624839254,0.3139648060539449,20,0.15
0.6102711337171349,0.004269239005409393,20,0.15
0.11338008604301471,0.6341155769055888,20,0.15
0.3589043156312078,0.12017904327039397,20,0.15
0.27932242179724365,0.23300409683334902,20,0.15
0.11981781979196553,0.6148531173875209,20,0.15
0.08572066647883633,0.7193460063227745,20,0.15
0.20819253537421337,0.37841346771281803,20,0.15
0.22735725719216593,0.33504177585387995,20,0.15
0.2705423284600976,0.248634690442886,20,0.15
-0.05344035836006889,0.8229415293014498,20,0.15
0.65490057759553,0.0017260799769689191,20,0.15
0.04754761101422262,0.8422161554191332,20,0.15
0.4283710414895059,0.05951181119443868,20,0.15
0.06823952129471797,0.7749858361129057,20,0.15
0.2563620132757313,0.27526120124866893,20,0.15
0.49751535870142527,0.02561105685554073,20,0.15
-0.21928445093961507,0.352940537746547,20,0.15
0.02074901841124358,0.9308094690894972,20,0.15
0.5294046611774652,0.016374519329945183,20,0.15
0.08984034510088361,0.7064180038838519,20,0.15
0.29391439990729606,0.20846537349062702,20,0.15
0.524434482451612,0.01760470896347323,20,0.15
0.3659822537247469,0.11252006196704854,20,0.15
0.12436724230891853,0.601384645013243,20,0.15
0.4469105076823239,0.04820751818643902,20,0.15
0.2065169329154879,0.3823492248091639,20,0.15
0.31939429385750867,0.16985329307447056,20,0.15
0.162270019736294,0.4942792194665798,20,0.15
-0.1481604539647014,0.5330312427209325,20,0.15
-0.047366739504269485,0.8428091954107584,20,0.15
0.14220210129223618,0.549805856368605,20,0.15
0.47491116995700217,0.034346681012517186,20,0.15
0.38664725032303743,0.09217601734533291,20,0.15
0.13415824744906898,0.572821217366493,20,0.15
0.1809143555197849,0.4452787744345874,20,0.15
-0.2892622992897874,0.21609454201700973,20,0.15
0.2255664269089706,0.33896540536059994,20,0.15
0.41724739689680396,0.06719625424583649,20,0.15
0.22201479230974908,0.34682613536915796,20,0.15
0.2720350798415947,0.24593115158639192,20,0.15
-0.16809687904438328,0.4786887643184252,20,0.15
0.23352069580125642,0.32174356352196254,20,0.15
0.025936283419656765,0.9135675891132207,20,0.15
-0.1845075174546906,0.43613644782800787,20,0.15
0.008110028949478699,0.9729296560704745,20,0.15
0.08432172538748271,0.7237529804232423,20,0.15
