sample_size,population_r,mean_r,sd_r,prop_sig
20,0.15,0.15058597400163923,0.22714230670490412,0.1013
20,0.25,0.24793585563332865,0.2188426844691403,0.1994
20,0.35,0.34557132356374687,0.20636873379122583,0.3473
40,0.15,0.1501253202732803,0.15596619443224186,0.1518
40,0.25,0.24894251103652057,0.149958142296623,0.3511
40,0.35,0.34789889580599853,0.14091108860782509,0.6222
60,0.15,0.15139595353922183,0.12772403276792185,0.21560000000000001
60,0.25,0.25053419957516415,0.12266384076103,0.4992
60,0.35,0.34974346455759037,0.11507809710069888,0.7994
