causal_effect,med1_loading,med2_loading,sample_size,mean_unstandardized_b,sd_unstandardized_b,mean_standardized_b,sd_standardized_b,percent_significant,mean_correlation,mean_med1_interitem_r,mean_med2_interitem_r
0.3,0.6,0.6,100,0.1723390392280539,0.1021564419655601,0.16805816673328736,0.09791521730370452,38.4,0.16805816673328736,0.2667120971599864,0.2778780167527889
0.3,0.6,0.6,200,0.1758880450542991,0.06943503269214632,0.17180834089395255,0.06627755469115937,67,0.17180834089395258,0.26753796608118974,0.27963671876912755
0.3,0.6,0.6,500,0.17716973599648694,0.04406711410070687,0.17341690933902032,0.04273085011922148,97.6,0.17341690933902032,0.2665538381493321,0.2803969372453452
0.3,0.6,0.8,100,0.2311396828742545,0.12339250218900948,0.1852356469689609,0.0965257775359199,45.4,0.1852356469689609,0.2667120971599864,0.4075632150845141
0.3,0.6,0.8,200,0.23557633841908696,0.08463174765669365,0.18930646039033672,0.06613817352185569,77.8,0.18930646039033672,0.26753796608118974,0.4092283977366157
0.3,0.6,0.8,500,0.23633070920577445,0.05361537666242742,0.1903663099156244,0.04262823736753349,99.2,0.1903663099156244,0.2665538381493321,0.4097526206962326
0.3,0.8,0.6,100,0.15715580395178835,0.0848959377465443,0.18512773265805887,0.09767182995214684,45.6,0.18512773265805887,0.39194768322641305,0.2778780167527889
0.3,0.8,0.6,200,0.1607319152964822,0.05857505539976199,0.18957879604599523,0.06704574417904742,76.2,0.18957879604599528,0.39287080874143543,0.27963671876912755
0.3,0.8,0.6,500,0.16179232216137973,0.03676864383748314,0.1912709914566104,0.04282957699891652,99.2,0.1912709914566104,0.3920483254783534,0.2803969372453452
0.3,0.8,0.8,100,0.2108059591851836,0.10264436091463948,0.2040999103129838,0.09628305111191636,53.8,0.2040999103129838,0.39194768322641305,0.4075632150845141
0.3,0.8,0.8,200,0.2152724568541709,0.07145309320547552,0.2088853491737011,0.06690309985079453,85.2,0.2088853491737011,0.39287080874143543,0.4092283977366157
0.3,0.8,0.8,500,0.21581645867337737,0.04481075592937195,0.20996438080926336,0.042752481637208,100,0.20996438080926336,0.3920483254783534,0.4097526206962326
0.5,0.6,0.6,100,0.2906967136546438,0.10334986593439692,0.27210185254872155,0.09199573384855404,77.60000000000001,0.27210185254872155,0.2667120971599864,0.30583781031249324
0.5,0.6,0.6,200,0.29395543592128714,0.07015801935292755,0.27526669395208503,0.06194104889047353,98.2,0.27526669395208503,0.26753796608118974,0.3081525507925902
0.5,0.6,0.6,500,0.2953015275865478,0.04476028383898337,0.276778020348907,0.04060428756911588,100,0.276778020348907,0.2665538381493321,0.30910416196452223
0.5,0.6,0.8,100,0.3889499154430409,0.1253474778531186,0.29678268448151573,0.08971386753288355,85.6,0.29678268448151573,0.2667120971599864,0.44055856119652526
0.5,0.6,0.8,200,0.3929995262417378,0.08582080707726819,0.3001780282623468,0.06121264626275984,99.8,0.30017802826234685,0.26753796608118974,0.4428226541363941
0.5,0.6,0.8,500,0.393839764659189,0.05465493878866281,0.3012430607853777,0.04010321391586727,100,0.30124306078537777,0.2665538381493321,0.44347520353008046
0.5,0.8,0.6,100,0.26500744911481183,0.08555402962191476,0.29968381471927114,0.09079195471708806,83.6,0.29968381471927114,0.39194768322641305,0.30583781031249324
0.5,0.8,0.6,200,0.2685163487509197,0.05907012609721867,0.3036447320370142,0.06198339340040251,99.8,0.3036447320370142,0.39287080874143543,0.3081525507925902
0.5,0.8,0.6,500,0.26962764048760374,0.037141631519301,0.30524128260927763,0.04019031748186801,100,0.30524128260927763,0.3920483254783534,0.30910416196452223
0.5,0.8,0.8,100,0.3546081527358816,0.1037391235252482,0.3269157084196947,0.08831850024945853,92.6,0.32691570841969464,0.39194768322641305,0.44055856119652526
0.5,0.8,0.8,200,0.35898503479342087,0.07222501514963973,0.3311247644649739,0.06109133843280053,100,0.33112476446497396,0.39287080874143543,0.4428226541363941
0.5,0.8,0.8,500,0.3595968831083427,0.04536563511053293,0.3322223951004773,0.03960810023063005,100,0.33222239510047735,0.3920483254783534,0.44347520353008046
